Internal drug ID,Drug type,Phase,Gene,DOE,Mechanism,Supporting sources
0,Small molecule,4.0,CA1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
0,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
0,Small molecule,4.0,CA4,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
0,Small molecule,4.0,CA7,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank' 'GTP']
1,Small molecule,4.0,CA1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
2,Small molecule,4.0,CA1,Negative modulator,Inhibitor,['CHEMBL']
2,Small molecule,4.0,CA12,Negative modulator,Inhibitor,['CHEMBL']
2,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL']
2,Small molecule,4.0,CA4,Negative modulator,Inhibitor,['CHEMBL']
3,Small molecule,4.0,CA1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
3,Small molecule,4.0,CA12,Negative modulator,Inhibitor,['CHEMBL']
3,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
3,Small molecule,4.0,CA4,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
4,Small molecule,4.0,CA1,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
4,Small molecule,4.0,CA12,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
4,Small molecule,4.0,CA2,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
4,Small molecule,4.0,CA4,Negative modulator,Inhibitor,['CHEMBL' 'DrugBank']
5,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
5,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
6,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
6,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
7,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
7,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
7,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
8,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
8,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
9,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
9,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
10,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
10,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
11,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
11,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
12,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL']
12,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL']
13,Small molecule,4.0,CHRM2,Positive modulator,Agonist,['CHEMBL']
13,Small molecule,4.0,CHRM3,Positive modulator,Agonist,['CHEMBL']
14,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
14,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank']
15,Small molecule,4.0,CHRM1,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
15,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
15,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
16,Small molecule,4.0,CHRM3,Negative modulator,Antagonist,['CHEMBL' 'DrugBank' 'GTP']
16,Small molecule,4.0,CHRNA1,Negative modulator,Antagonist,['CHEMBL']
16,Small molecule,4.0,CHRNB1,Negative modulator,Antagonist,['CHEMBL']
16,Small molecule,4.0,CHRND,Negative modulator,Antagonist,['CHEMBL']
16,Small molecule,4.0,CHRNE,Negative modulator,Antagonist,['CHEMBL']
16,Small molecule,4.0,CHRNG,Negative modulator,Antagonist,['CHEMBL']
17,Small molecule,4.0,CHRM2,Negative modulator,Antagonist,['CHEMBL']
