drugbank_id,id
DB00703,0
DB00423,1
DB01144,3
DB00819,4
DB04843,9
DB00517,14
DB00572,15
DB00809,16
DB01199,16
DB03128,24
DB00411,25
DB01085,26
DB00185,28
DB00462,31
DB01062,32
DB00986,35
DB01270,40
DB08885,41
DB00112,42
DB06655,43
DB01276,44
DB14509,45
DB01356,46
DB14507,46
DB06212,48
DB06285,52
DB01083,54
DB00549,55
DB11095,57
DB00006,58
DB00001,59
DB00278,61
DB00031,62
DB00086,63
DB00015,64
DB00013,65
DB06692,66
DB00009,67
DB00302,68
DB00513,69
DB01194,70
DB00273,72
DB00385,80
DB00519,83
DB09477,85
DB00178,86
DB01197,89
DB00722,91
DB09421,94
DB00770,95
DB02546,96
DB00016,98
DB00012,99
DB00811,100
DB00072,101
DB06366,102
DB05773,103
DB01259,104
DB00341,117
DB09555,120
DB00455,121
DB06766,130
DB09488,131
DB00557,134
DB00967,135
DB00985,146
DB00902,148
DB01075,149
DB00065,154
DB08904,155
DB00051,156
DB00005,157
DB06674,158
DB00820,159
DB06237,162
DB00850,166
DB00433,168
DB00248,170
DB01239,173
DB01238,176
DB04946,178
DB01267,182
DB01623,183
DB00508,184
DB01029,189
DB00177,190
DB00275,192
DB00796,193
DB00966,195
DB00043,198
DB00763,199
DB00550,200
DB00056,201
DB00190,202
DB06207,206
DB01269,209
DB00002,210
DB00317,212
DB01235,213
DB00044,215
DB00097,216
DB09126,217
DB00050,219
DB00106,222
DB01216,230
DB00744,231
DB00244,234
DB00795,236
DB00747,243
DB01254,248
DB06616,249
DB08896,250
DB05332,252
DB00335,254
DB00960,261
DB01214,262
DB01203,265
DB00195,270
DB00373,276
DB00887,280
DB00903,281
DB00214,282
DB00695,283
DB00808,285
DB00524,286
DB00606,287
DB00562,288
DB00880,289
DB01325,291
DB00232,292
DB00999,293
DB00436,294
DB00774,295
DB01021,296
DB00310,297
DB01324,298
DB01119,300
DB00315,302
DB00952,304
DB00669,306
DB00904,309
DB00889,311
DB06287,316
DB00877,317
DB01590,318
DB00337,319
DB00864,320
DB00552,322
DB00313,325
DB06700,326
DB00472,334
DB00543,340
DB00197,351
DB09532,352
DB01241,355
DB01039,356
DB00636,357
DB13873,358
DB01169,359
DB04854,361
DB00437,362
DB00946,363
DB00498,364
DB00266,365
DB00822,368
DB04835,369
DB00927,370
DB00585,373
DB00501,375
DB08882,380
DB00091,383
DB06822,384
DB01225,384
DB06779,384
DB00322,390
DB01101,392
DB00544,393
DB14751,394
DB01277,395
DB00026,396
DB00024,397
DB15263,397
DB01285,398
DB01284,400
DB09334,401
DB01097,402
DB08880,403
DB00765,404
DB00204,405
DB01118,407
DB00600,408
DB09516,409
DB09098,410
DB00052,411
DB00082,412
DB00169,413
DB00153,414
DB02300,415
DB00910,416
DB00136,417
DB00146,418
DB06410,419
DB00894,420
DB01217,421
DB01006,422
DB00990,423
DB00357,424
DB00243,427
DB00030,434
DB00046,444
DB01309,445
DB00047,447
DB00071,448
DB01306,456
DB01307,458
DB00408,461
DB00363,463
DB00477,465
DB01038,466
DB00450,467
DB00370,471
DB00334,472
DB01100,476
DB00734,477
DB00502,478
DB00679,481
DB00040,488
DB08819,490
DB00654,491
DB00287,492
DB01160,493
DB00905,494
DB00429,495
DB00269,497
DB04899,499
DB00928,501
DB01262,502
DB00700,503
DB06780,504
DB00421,506
DB01134,507
DB01395,508
DB00393,509
DB01023,510
DB00374,511
DB01088,512
DB06213,514
DB00099,515
DB00019,516
DB00975,517
DB01202,518
DB05311,519
DB00210,520
DB01125,521
DB05294,522
DB00745,523
DB06413,524
DB00182,526
DB01576,532
DB00422,539
DB06274,554
DB00813,563
DB01209,567
DB00921,571
DB00323,573
DB00494,574
DB00677,580
DB00094,587
DB00010,590
DB00648,592
DB00635,593
DB06786,594
DB00253,595
DB06781,596
DB00443,597
DB00741,598
DB14541,600
DB01013,601
DB00324,603
DB14596,606
DB14632,607
DB00860,608
DB00180,609
DB14657,610
DB01260,615
DB01130,616
DB00394,617
DB00223,618
DB00663,619
DB00959,623
DB00620,624
DB01047,625
DB08906,626
DB00547,627
DB14544,630
DB00288,631
DB14539,634
DB14512,635
DB14649,636
DB14540,637
DB09378,638
DB09383,641
DB01410,642
DB00591,643
DB15566,644
DB01222,645
DB01234,646
DB01380,648
DB00896,649
DB14543,651
DB00846,652
DB00588,653
DB00834,654
DB01037,657
DB00092,658
DB00284,659
DB01586,660
DB06777,661
DB00107,662
DB06813,663
DB00419,666
DB09369,667
DB00655,669
DB00783,670
DB13952,671
DB13956,672
DB00977,674
DB00890,675
DB13954,676
DB01357,678
DB00255,679
DB00297,681
DB00491,683
DB00191,688
DB06809,698
DB00055,699
DB00262,701
DB08888,705
DB08907,706
DB00364,707
DB14123,708
DB01108,710
DB00929,711
DB08865,712
DB08893,713
DB04941,714
DB08820,715
DB00254,716
DB00039,718
DB00356,719
DB06774,721
DB08881,723
DB08900,724
DB01046,725
DB09371,726
DB00294,727
DB00351,728
DB00603,730
DB00717,731
DB06789,732
DB00378,733
DB00396,734
DB09389,735
DB00957,736
DB00367,735
DB00304,737
DB06713,739
DB00823,740
DB01406,741
DB08828,742
DB01138,743
DB01032,744
DB08883,745
DB00559,746
DB06403,747
DB00184,748
DB08890,750
DB00399,753
DB00227,756
DB00641,763
DB01025,764
DB00651,765
DB01656,766
DB00277,767
DB01148,769
DB01223,770
DB06176,771
DB09317,774
DB09318,775
DB04938,776
DB04575,778
DB00947,779
DB00054,781
DB00063,782
DB00338,784
DB05351,785
DB00448,789
DB00311,791
DB00704,795
DB00844,799
DB01183,800
DB08870,802
DB01229,803
DB01248,804
DB06772,806
DB01394,807
DB04845,808
DB00108,812
DB00102,813
DB01136,815
DB00949,823
DB00980,826
DB00575,833
DB00968,835
DB06707,837
DB00316,851
DB00788,852
DB00861,857
DB01050,850
DB01294,858
DB06802,859
DB03585,860
DB00945,862
DB00328,865
DB00712,867
DB00605,869
DB00784,872
DB00991,874
DB00812,875
DB00554,876
DB00870,877
DB01009,878
DB00773,879
DB00444,880
DB00806,881
DB00201,883
DB00640,884
DB00727,885
DB00435,886
DB01020,888
DB00883,889
DB00688,890
DB01024,891
DB00352,893
DB00350,895
DB06762,896
DB01247,906
DB00222,908
DB01016,909
DB00672,910
DB01067,912
